Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.31,0.01,0.42149996701582537
100% Corpus,8,0.31,0.31,0.4784073171637762
100% Corpus,8,0.31,0.61,0.38322712919625723
100% Corpus,8,0.31,0.9099999999999999,0.451194176422972
100% Corpus,8,0.31,symmetric,0.4240039654312808
100% Corpus,8,0.61,0.01,0.4271701647854441
100% Corpus,8,0.61,0.31,0.4011282357247914
100% Corpus,8,0.61,0.61,0.5575042547452005
100% Corpus,8,0.61,0.9099999999999999,0.6837747574533245
100% Corpus,8,0.61,symmetric,0.4121839077832457
100% Corpus,8,0.9099999999999999,0.01,0.4159070901016385
100% Corpus,8,0.9099999999999999,0.31,0.4168392495850175
100% Corpus,8,0.9099999999999999,0.61,0.5441366620920998
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5210315742445351
100% Corpus,8,0.9099999999999999,symmetric,0.4063784226197699
100% Corpus,8,symmetric,0.01,0.43250347297869446
100% Corpus,8,symmetric,0.31,0.44610420531749856
100% Corpus,8,symmetric,0.61,0.38601574755387014
100% Corpus,8,symmetric,0.9099999999999999,0.4751197983409512
100% Corpus,8,symmetric,symmetric,0.43791739577944655
100% Corpus,8,asymmetric,0.01,0.41555433504999845
100% Corpus,8,asymmetric,0.31,0.5270312505397339
100% Corpus,8,asymmetric,0.61,0.5504816807786552
100% Corpus,8,asymmetric,0.9099999999999999,0.5094012997245763
100% Corpus,8,asymmetric,symmetric,0.4489482274128523
100% Corpus,9,0.01,0.01,0.40633189642651873
100% Corpus,9,0.01,0.31,0.4349179146314351
100% Corpus,9,0.01,0.61,0.44613222261330393
100% Corpus,9,0.01,0.9099999999999999,0.40334538498076505
100% Corpus,9,0.01,symmetric,0.39852694674409805
